Line	Book	Chapter	Verse	Scripture
25	Mat 	1	25	καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν τὸν υἱὸν αὐτῆς τὸν πρωτότοκον.  καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν 
26	Mat 	2	1	Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως ἰδού, μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα 
27	Mat 	2	2	λέγοντες, Ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ 
28	Mat 	2	3	ἀκούσας δὲ Ἡρῴδης ὁ βασιλεὺς ἐταράχθη καὶ πᾶσα Ἱεροσόλυμα μετ' αὐτοῦ 
29	Mat 	2	4	καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ ἐπυνθάνετο παρ' αὐτῶν ποῦ ὁ Χριστὸς γεννᾶται 
30	Mat 	2	5	οἱ δὲ εἶπον αὐτῷ Ἐν Βηθλέεμ τῆς Ἰουδαίας.  οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου.  
31	Mat 	2	6	Καὶ σύ Βηθλέεμ γῆ Ἰούδα οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα.  ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ 
32	Mat 	2	7	Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρ' αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος 
33	Mat 	2	8	καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν Πορευθέντες ἀκριβῶς ἐξετάσατε περὶ τοῦ παιδίου.  ἐπὰν δὲ εὕρητε ἀπαγγείλατέ μοι ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ 
34	Mat 	2	9	οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν καὶ ἰδού, ὁ ἀστὴρ ὃν εἶδον ἐν τῇ ἀνατολῇ προῆγεν αὐτοὺς ἕως ἐλθὼν ἔστη ἐπάνω οὗ ἦν τὸ παιδίον 
35	Mat 	2	10	ἰδόντες δὲ τὸν ἀστέρα ἐχάρησαν χαρὰν μεγάλην σφόδρα 
36	Mat 	2	11	καὶ ἐλθόντες εἰς τὴν οἰκίαν εὗρον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ καὶ πεσόντες προσεκύνησαν αὐτῷ καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα χρυσὸν καὶ λίβανον καὶ σμύρναν 
37	Mat 	2	12	καὶ χρηματισθέντες κατ' ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην δι' ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν 
38	Mat 	2	13	Ἀναχωρησάντων δὲ αὐτῶν ἰδού, ἄγγελος κυρίου φαίνεται κατ' ὄναρ τῷ Ἰωσὴφ λέγων, Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι.  μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό 
39	Mat 	2	14	ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν εἰς Αἴγυπτον 
40	Mat 	2	15	καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου.  ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ κυρίου διὰ τοῦ προφήτου λέγοντος Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου 
41	Mat 	2	16	Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλέεμ καὶ ἐν πάσιν τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων 
42	Mat 	2	17	τότε ἐπληρώθη τὸ ῥηθὲν ὑπὸ Ἰερεμίου τοῦ προφήτου λέγοντος 
43	Mat 	2	18	Φωνὴ ἐν Ῥαμὰ ἠκούσθη θρῆνος καὶ κλαυθμὸς καὶ ὀδυρμὸς πολύς.  Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν 
44	Mat 	2	19	Τελευτήσαντος δὲ τοῦ Ἡρῴδου ἰδού, ἄγγελος κυρίου κατ' ὄναρ φαίνεται τῷ Ἰωσὴφ ἐν Αἰγύπτῳ 
45	Mat 	2	20	λέγων, Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ.  τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου 
46	Mat 	2	21	ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ ἦλθεν εἰς γῆν Ἰσραήλ 
47	Mat 	2	22	ἀκούσας δὲ ὅτι Ἀρχέλαος βασιλεύει ἐπὶ τῆς Ἰουδαίας ἀντὶ Ἡρῴδου τοῦ πατρὸς αὐτοῦ ἐφοβήθη ἐκεῖ ἀπελθεῖν.  χρηματισθεὶς δὲ κατ' ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας 
48	Mat 	2	23	καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ.  ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται 
49	Mat 	3	1	Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάννης ὁ βαπτιστὴς κηρύσσων ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας 
50	Mat 	3	2	καὶ λέγων, Μετανοεῖτε.  ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν 
51	Mat 	3	3	οὗτος γάρ ἐστιν ὁ ῥηθεὶς ὑπὸ Ἠσαΐου τοῦ προφήτου λέγοντος Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ.  Ἑτοιμάσατε τὴν ὁδὸν κυρίου εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ 
52	Mat 	3	4	Αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ ἡ δὲ τροφὴ αὐτοῦ ἦν ἀκρίδες καὶ μέλι ἄγριον 
53	Mat 	3	5	τότε ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου 
54	Mat 	3	6	καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ὑπ' αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν 
55	Mat 	3	7	Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα αὐτοῦ εἶπεν αὐτοῖς Γεννήματα ἐχιδνῶν τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς; 
56	Mat 	3	8	ποιήσατε οὖν καρποὺς ἄξιους τῆς μετανοίας 
57	Mat 	3	9	καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν Ἀβραάμ.  λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ 
58	Mat 	3	10	ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται.  πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται 
59	Mat 	3	11	ἐγὼ μὲν βαπτίζω ὑμᾶς ἐν ὕδατι εἰς μετάνοιαν ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μου ἐστίν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι.  αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί.  
60	Mat 	3	12	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ 
61	Mat 	3	13	Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπ' αὐτοῦ 
62	Mat 	3	14	ὁ δὲ Ἰωάννης διεκώλυεν αὐτὸν λέγων, Ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι καὶ σὺ ἔρχῃ πρός με 
63	Mat 	3	15	ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν, Ἄφες ἄρτι οὕτως γὰρ πρέπον ἐστὶν ἡμῖν πληρῶσαι πᾶσαν δικαιοσύνην τότε ἀφίησιν αὐτόν 
64	Mat 	3	16	καὶ βαπτισθεὶς ὁ Ἰησοῦς ἀνέβη εὐθὺς ἀπὸ τοῦ ὕδατος.  καὶ ἰδού, ἀνεῴχθησαν αὐτῷ οἱ οὐρανοί καὶ εἶδεν τὸ πνεῦμα τοῦ θεοῦ καταβαῖνον ὡσεὶ περιστερὰν καὶ ἐρχόμενον ἐπ' αὐτόν.  
65	Mat 	3	17	καὶ ἰδού, φωνὴ ἐκ τῶν οὐρανῶν λέγουσα Οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα 
66	Mat 	4	1	Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ πνεύματος πειρασθῆναι ὑπὸ τοῦ διαβόλου 
67	Mat 	4	2	καὶ νηστεύσας ἡμέρας τεσσαράκοντα καὶ νύκτας τεσσαράκοντα ὕστερον ἐπείνασεν 
68	Mat 	4	3	Καὶ προσελθὼν αὐτῷ ὁ πειράζων εἶπεν Εἰ υἱὸς εἶ τοῦ θεοῦ εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται 
69	Mat 	4	4	ὁ δὲ ἀποκριθεὶς εἶπεν Γέγραπται Οὐκ ἐπ' ἄρτῳ μόνῳ ζήσεται ἄνθρωπος ἀλλ' ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ 
70	Mat 	4	5	Τότε παραλαμβάνει αὐτὸν ὁ διάβολος εἰς τὴν ἁγίαν πόλιν καὶ ἵστησιν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ 
71	Mat 	4	6	καὶ λέγει αὐτῷ Εἰ υἱὸς εἶ τοῦ θεοῦ βάλε σεαυτὸν κάτω.  γέγραπται γὰρ ὅτι Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ χειρῶν ἀροῦσίν σε μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου 
72	Mat 	4	7	ἔφη αὐτῷ ὁ Ἰησοῦς Πάλιν γέγραπται Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου 
73	Mat 	4	8	Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ τὴν δόξαν αὐτῶν 
74	Mat 	4	9	καὶ λέγει αὐτῷ Ταῦτα πάντα σοι δώσω ἐὰν πεσὼν προσκυνήσῃς μοι 
75	Mat 	4	10	τότε λέγει αὐτῷ ὁ Ἰησοῦς Ὕπαγε Σατανᾶ.  γέγραπται γάρ, Κύριον τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις 
76	Mat 	4	11	Τότε ἀφίησιν αὐτὸν ὁ διάβολος καὶ ἰδού, ἄγγελοι προσῆλθον καὶ διηκόνουν αὐτῷ 
77	Mat 	4	12	Ἀκούσας δὲ ὁ Ἰησοῦς ὅτι Ἰωάννης παρεδόθη ἀνεχώρησεν εἰς τὴν Γαλιλαίαν 
78	Mat 	4	13	καὶ καταλιπὼν τὴν Ναζαρὲτ ἐλθὼν κατῴκησεν εἰς Καπερναοὺμ τὴν παραθαλασσίαν ἐν ὁρίοις Ζαβουλὼν καὶ Νεφθαλείμ.  
79	Mat 	4	14	ἵνα πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος 
80	Mat 	4	15	Γῆ  Ζαβουλὼν καὶ Γῆ Νεφθαλείμ, ὁδὸν θαλάσσης πέραν τοῦ Ἰορδάνου Γαλιλαία τῶν ἐθνῶν 
81	Mat 	4	16	ὁ λαὸς ὁ καθήμενος ἐν σκότει εἶδε φῶς μέγα καὶ τοῖς καθημένοις ἐν χώρᾳ καὶ σκιᾷ θανάτου φῶς ἀνέτειλεν αὐτοῖς 
82	Mat 	4	17	Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν Μετανοεῖτε.  ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν 
83	Mat 	4	18	Περιπατῶν δὲ ὁ Ἰησοῦς παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν.  ἦσαν γὰρ ἁλιεῖς 
84	Mat 	4	19	καὶ λέγει αὐτοῖς Δεῦτε ὀπίσω μου καὶ ποιήσω ὑμᾶς ἁλιεῖς ἀνθρώπων 
85	Mat 	4	20	οἱ δὲ εὐθέως ἀφέντες τὰ δίκτυα ἠκολούθησαν αὐτῷ 
86	Mat 	4	21	Καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν καὶ ἐκάλεσεν αὐτούς 
87	Mat 	4	22	οἱ δὲ εὐθέως ἀφέντες τὸ πλοῖον καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν αὐτῷ 
88	Mat 	4	23	Καὶ περιῆγεν ὅλην τὴν Γαλιλαίαν ὁ Ἰησοῦς, διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ 
89	Mat 	4	24	καὶ ἀπῆλθεν ἡ ἀκοὴ αὐτοῦ εἰς ὅλην τὴν Συρίαν.  καὶ προσήνεγκαν αὐτῷ πάντας τοὺς κακῶς ἔχοντας ποικίλαις νόσοις καὶ βασάνοις συνεχομένους καὶ δαιμονιζομένους καὶ σεληνιαζομένους καὶ παραλυτικούς, καὶ ἐθεράπευσεν αὐτούς 
90	Mat 	4	25	καὶ ἠκολούθησαν αὐτῷ ὄχλοι πολλοὶ ἀπὸ τῆς Γαλιλαίας καὶ Δεκαπόλεως καὶ Ἱεροσολύμων καὶ Ἰουδαίας καὶ πέραν τοῦ Ἰορδάνου 
91	Mat 	5	1	Ἰδὼν δὲ τοὺς ὄχλους ἀνέβη εἰς τὸ ὄρος καὶ καθίσαντος αὐτοῦ προσῆλθον αὐτῷ οἱ μαθηταὶ αὐτοῦ.  
92	Mat 	5	2	καὶ ἀνοίξας τὸ στόμα αὐτοῦ ἐδίδασκεν αὐτοὺς λέγων 
93	Mat 	5	3	Μακάριοι οἱ πτωχοὶ τῷ πνεύματι ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν 
94	Mat 	5	4	μακάριοι οἱ πενθοῦντες ὅτι αὐτοὶ παρακληθήσονται 
95	Mat 	5	5	μακάριοι οἱ πραεῖς ὅτι αὐτοὶ κληρονομήσουσιν τὴν γῆν 
96	Mat 	5	6	μακάριοι οἱ πεινῶντες καὶ διψῶντες τὴν δικαιοσύνην ὅτι αὐτοὶ χορτασθήσονται 
97	Mat 	5	7	μακάριοι οἱ ἐλεήμονες ὅτι αὐτοὶ ἐλεηθήσονται 
98	Mat 	5	8	μακάριοι οἱ καθαροὶ τῇ καρδίᾳ ὅτι αὐτοὶ τὸν θεὸν ὄψονται 
99	Mat 	5	9	μακάριοι οἱ εἰρηνοποιοί ὅτι αὐτοὶ υἱοὶ θεοῦ κληθήσονται 
100	Mat 	5	10	μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν 
101	Mat 	5	11	μακάριοί ἐστε ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσιν καὶ εἴπωσιν πᾶν πονηρὸν ῥῆμα καθ' ὑμῶν ψευδόμενοι ἕνεκεν ἐμοῦ 
102	Mat 	5	12	χαίρετε καὶ ἀγαλλιᾶσθε ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς.  οὕτως γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν 
103	Mat 	5	13	Ὑμεῖς ἐστε τὸ ἅλας τῆς γῆς.  ἐὰν δὲ τὸ ἅλας μωρανθῇ ἐν τίνι ἁλισθήσεται εἰς οὐδὲν ἰσχύει ἔτι εἰ μὴ βληθῆναι ἔξω καὶ καταπατεῖσθαι ὑπὸ τῶν ἀνθρώπων 
104	Mat 	5	14	Ὑμεῖς ἐστε τὸ φῶς τοῦ κόσμου οὐ δύναται πόλις κρυβῆναι ἐπάνω ὄρους κειμένη.  
105	Mat 	5	15	οὐδὲ καίουσιν λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον ἀλλ' ἐπὶ τὴν λυχνίαν καὶ λάμπει πᾶσιν τοῖς ἐν τῇ οἰκίᾳ 
106	Mat 	5	16	οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων ὅπως ἴδωσιν ὑμῶν τὰ καλὰ ἔργα καὶ δοξάσωσιν τὸν πατέρα ὑμῶν τὸν ἐν τοῖς οὐρανοῖς 
107	Mat 	5	17	Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας.  οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι 
108	Mat 	5	18	ἀμὴν γὰρ λέγω ὑμῖν.  ἕως ἂν παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ ἰῶτα ἓν ἢ μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου ἕως ἂν πάντα γένηται 
109	Mat 	5	19	ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.  ὃς δ' ἂν ποιήσῃ καὶ διδάξῃ οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν 
110	Mat 	5	20	λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ἡ δικαιοσύνη ὑμῶν πλεῖον τῶν γραμματέων καὶ Φαρισαίων οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν 
111	Mat 	5	21	Ἠκούσατε ὅτι ἐρρέθη τοῖς ἀρχαίοις Οὐ φονεύσεις.  ὃς δ' ἂν φονεύσῃ ἔνοχος ἔσται τῇ κρίσει 
